"Name","Size","State","Sector","Urbanization","Total Enrollment","Percent Admitted (Total)","Graduation Rate","Tuition","Total Price (In-State)","Total Price (Out-of-State)"
"Alabama A & M University",2500,"Alabama","Public- 4-year or above","City: Midsize",4922,50,32,6828,17688,23016
"University of Alabama at Birmingham",15000,"Alabama","Public- 4-year or above","City: Midsize",17575,72,45,6264,21153,29145
"University of Alabama at Huntsville",734,"Alabama","Public- 4-year or above","City: Midsize",7629,64,45,8094,21691,33021
"Auburn University",35000,"Alabama","Public- 4-year or above","City: Small",25469,70,66,8698,22352,36926
"Concordia College Selma",800,"Alabama","Private not-for-profit- 4-year or above","Town: Remote",719,,5,8090,18040,18040
"Heritage Christian University",750,"Alabama","Private not-for-profit- 4-year or above","Rural: Fringe",86,,0,12030,21087,21087
"University of Mobile",2500,"Alabama","Private not-for-profit- 4-year or above","Rural: Fringe",1734,81,43,17220,29830,29830
"Talladega College",750,"Alabama","Private not-for-profit- 4-year or above","Town: Distant",712,,20,11143,19048,19048
"University of Alaska Anchorage",15000,"Alaska","Public- 4-year or above","City: Large",18128,,26,5396,17917,29557
"University of Alaska Southeast",2500,"Alaska","Public- 4-year or above","Rural: Fringe",3344,,21,5380,14928,26568
"Collins College",750,"Arizona","Private for-profit- 4-year or above","City: Large",892,,41,12650,,
"DeVry University-Arizona",2500,"Arizona","Private for-profit- 4-year or above","City: Large",1762,92,34,15248,,
"Grand Canyon University",35000,"Arizona","Private for-profit- 4-year or above","City: Large",40487,37,31,16500,32100,32100
"Prescott College",2500,"Arizona","Private not-for-profit- 4-year or above","City: Small",1134,83,29,27829,38249,38249
"Arizona Christian University",750,"Arizona","Private not-for-profit- 4-year or above","City: Large",598,57,35,18968,34806,34806
"Western International University",2500,"Arizona","Private for-profit- 4-year or above","City: Large",3239,,3,10560,,
"University of Arkansas at Little Rock",15000,"Arkansas","Public- 4-year or above","City: Midsize",13068,96,22,6937,20523,30033
"Lyon College",750,"Arkansas","Private not-for-profit- 4-year or above","Town: Remote",600,65,50,22906,33246,33246
"University of Arkansas",35000,"Arkansas","Public- 4-year or above","City: Small",23199,61,59,7174,20464,30896
"Harding University",8000,"Arkansas","Private not-for-profit- 4-year or above","Town: Distant",7056,72,63,14610,24740,24740
"John Brown University",2500,"Arkansas","Private not-for-profit- 4-year or above","Rural: Fringe",2454,73,66,20766,31980,31980
"Williams Baptist College",750,"Arkansas","Private not-for-profit- 4-year or above","Rural: Distant",593,59,36,12620,22148,22148
"Southern Arkansas University Main Campus",2500,"Arkansas","Public- 4-year or above","Town: Remote",3382,67,33,6786,17718,20598
"Academy of Art University",15000,"California","Private for-profit- 4-year or above","City: Large",18093,,34,18050,36202,36202
"Art Center College of Design",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",1842,63,54,34044,,
"Bethesda University of California",750,"California","Private not-for-profit- 4-year or above","City: Large",331,75,61,7620,,
"California Baptist University",8000,"California","Private not-for-profit- 4-year or above","City: Large",5413,74,55,25808,39258,39258
"California College of the Arts",2500,"California","Private not-for-profit- 4-year or above","City: Large",1992,76,49,37040,52240,52240
"California Institute of Technology",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",2231,13,87,37704,54090,54090
"California Lutheran University",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",4103,44,64,32860,48782,48782
"California State University-Stanislaus",8000,"California","Public- 4-year or above","Suburb: Small",9246,34,49,6582,20060,31220
"California State University-San Bernardino",15000,"California","Public- 4-year or above","City: Midsize",17250,19,45,6518,21063,32223
"California State University-Chico",15000,"California","Public- 4-year or above","City: Small",15920,62,59,6890,23100,34260
"California State University-Dominguez Hills",15000,"California","Public- 4-year or above","City: Small",14364,58,24,6095,21690,32350
"California State University-Fresno",35000,"California","Public- 4-year or above","City: Large",21981,56,49,6263,21069,32229
"California State University-Fullerton",35000,"California","Public- 4-year or above","City: Midsize",36156,45,50,6120,22220,33380
"California State University-Northridge",35000,"California","Public- 4-year or above","City: Large",36911,74,46,6488,24880,36040
"University of California-Davis",35000,"California","Public- 4-year or above","Suburb: Small",31732,46,82,13860,31199,54077
"San Jose State University",35000,"California","Public- 4-year or above","City: Large",30236,57,46,6828,23671,34831
"Scripps College",750,"California","Private not-for-profit- 4-year or above","Suburb: Large",985,36,88,41950,56700,56700
"Shasta Bible College and Graduate School",750,"California","Private not-for-profit- 4-year or above","City: Small",62,100,63,10320,26222,26222
"Simpson University",2500,"California","Private not-for-profit- 4-year or above","Rural: Fringe",1297,52,43,21600,33124,33124
"Saint Marys College of California",2500,"California","Private not-for-profit- 4-year or above","Suburb: Large",4099,69,64,37150,54742,54742
"Sonoma State University",8000,"California","Public- 4-year or above","Suburb: Large",8668,81,57,6862,23931,35091
"Vanguard University of Southern California",2500,"California","Private not-for-profit- 4-year or above","City: Midsize",2197,74,55,27400,40585,40585
"Southern California Institute of Architecture",750,"California","Private not-for-profit- 4-year or above","City: Large",457,89,58,30600,,
"University of Southern California",35000,"California","Private not-for-profit- 4-year or above","City: Large",38010,23,90,42818,57876,57876
