Weeks Charted,Weeks Top 40,Weeks Top 10,Weeks at Peak,Highest Chart,Artist,Album,Track,Time
43,27,14,2,1,Adele,21,Set Fire To The Rain,4:01:00
26,18,0,3,13,Pitbull,Planet Pit (Deluxe Version),International Love,3:49:00
35,20,0,1,18,Gavin DeGraw,Sweeter,Not Over You,3:38:00
38,16,0,1,22,Selena Gomez,When The Sun Goes Down,Love You Like A Love Song,3:08:00
28,18,0,1,13,J. Cole,Cole World - The Sideline Story,Work Out,3:58:00
52,33,14,2,2,Ellie Goulding,Lights,Lights,3:31:00
36,27,8,1,5,Jay-Z,Watch The Throne,Ni**as In Paris,3:39:00
25,0,0,2,47,Colbie Caillat,All Of You,Brighter Than The Sun,3:51:00
27,21,10,1,4,David Guetta,Nothing But The Beat,Turn Me On,3:19:00
42,34,21,2,1,LMFAO,Sorry For The Party Rocking Deluxe Version),Sexy And I Know It,3:19:00
37,31,16,3,3,Flo Rida,s,Good Feeling,4:06:00
18,0,0,1,55,Scotty McCreery,Clear As Day,The Trouble With Girls,3:49:00
20,8,0,1,28,Hot Chelle Rae,Whatever,I Like It Like That,3:08:00
24,19,1,1,10,Big Sean,Finally Famous,Dance (A$$),3:40:00
32,25,6,1,7,Snoop Dogg,s,"Young, Wild & Free",3:27:00
24,21,11,2,3,Katy Perry,Teenage Dream (Deluxe Edition),The One That Got Away,3:47:00
29,20,3,1,6,Jessie J,Who Are You (Platinum Edition),Domino,3:51:00
17,0,0,1,62,Rick Ross,s,You The Boss,4:40:00
20,3,0,1,34,Chris Young,Neon (Delxe Edition),You,2:44:00
20,14,0,1,15,Toby Keith,Clancy's Tavern (Deluxe Edition),Red Solo Cup,3:43:00
37,30,16,3,1,Kelly Clarkson,Stronger (Deluxe Version),Stronger (What Doesn't Kill You),3:41:00
20,0,0,1,72,Florence + The Machine,Ceremonials (Deluxe Version),Shake It Out,4:37:00
12,0,0,1,78,Hunter Hayes,Hunter Hayes,Storm Warning,3:59:00
10,0,0,1,63,Justin Moore,Outlaws Like Me,Bait A Hook,3:28:00
20,3,0,1,32,Breathe Carolina,Hell Is What You Make It,Blackout,3:30:00
20,0,0,1,62,Kenny Chesney,Hemmingway's Whiskey (Deluxe Edition),Reality,3:30:00
2,0,0,1,86,Justin Bieber,Under The Mistletoe (Deluxe Edition),Drummer Boy,3:45:00
3,0,0,1,85,Skrillex,More Monsters and Sprites,First Of The Year (Equinox),4:21:00
20,4,0,1,37,Chris Brown,s,Strip,2:49:00
25,18,4,1,7,Tyga,s,Rack City,3:28:00
20,2,0,2,38,Outasight,Tonight Is The Night - EP,Tonight Is The Night,3:10:00
20,0,0,1,52,J. Cole,Cole World - The Sideline Story,Can't Get Enough,3:45:00
9,0,0,1,87,Brad Paisley,This Is Country Music,Camouflage,4:26:00
6,0,0,1,65,Avril Lavigne,Goodbye Lullaby (Deluxe Edition),Wish You Were Here,3:45:00
20,0,0,1,41,Jake Owen,Barefoot Blue Jean Night,Alone With You,3:30:00
18,0,0,2,54,Keith Urban,Get Closer (Deluxe Version),You Gonna Fly,3:36:00
6,0,0,1,83,Edens Edge,Edens Edge - EP,Amen,3:48:00
20,5,0,1,33,Lee Brice,s,A Woman Like You,3:29:00
23,17,0,1,12,Gym Class Heroes,The Papercut Chronicles II,Ass Back Home,3:42:00
17,4,0,1,30,Taylor Swift,The Hunger Games OST,Safe & Sound,4:01:00
36,28,14,2,5,Flo Rida,s,Wild Ones,3:53:00
15,0,0,1,61,Young Jeezy,TM:103 Hustlerz Ambitions (Deluxe Version),I Do,5:11:00
14,0,0,1,69,Skrillex,Scary Monsters And Nice Sprites,Scary Monsters And Nice Sprites,4:03:00
2,0,0,1,75,Mac Miller,s,Donald Trump,2:45:00
1,0,0,1,76,Adam Lambert,s,Better Than I Know Myself,3:36:00
5,0,0,1,59,Nicki Minaj,s,Stupid Hoe,3:16:00
1,0,0,1,88,Mac Miller,s,Knock Knock,3:22:00
2,0,0,2,94,V.I.C.,Beast,Wobble Baby Wobble,5:23:00
3,0,0,1,61,Nelly,s,The Champ,3:09:00
2,0,0,1,98,B.o.B.,s,Play The Guitar,3:24:00
44,27,1,1,8,Jason Mraz,s,I Won't Give Up,4:01:00
4,0,0,1,74,Skrillex,Bangarang,Kyoto,3:20:00
1,0,0,1,84,3OH!3,s,Set You Free,3:24:00
50,43,24,8,1,Gotye,s,Somebody That I Used To Know,4:04:00
15,0,0,1,71,Montgomery Gentry,Rebels On The Run,Where I Come From,3:21:00
11,0,0,1,69,Jay-Z,Watch The Throne,Gotta Have It,2:20:00
36,29,2,2,10,Train,s,Drive By,3:16:00
1,0,0,1,67,Van Halen,Different Kind Of Truth (Deluxe Edition),Tattoo,4:43:00
1,0,0,1,78,Snow Patrol,Fallen Empires,Called Out In The Dark,4:01:00
37,32,15,4,3,"Wanted, The",s,Glad You Came,3:18:00
1,0,0,1,91,Lana Del Ray,Lana Del Ray - EP,Video Games,4:41:00
9,0,0,1,86,Foster The People,Torches,Don't Stop (Color On The Walls),2:56:00
1,0,0,1,98,MGK,s,Wild Boy,3:53:00
1,1,0,1,28,Glee Cast,s,Without You,3:30:00
22,4,0,1,33,Tyga,Careless World,Faded,3:33:00
1,0,0,1,56,Glee Cast,s,We Found Love,3:34:00
1,0,0,1,62,Glee Cast,s,Moves Like Jagger / Jumpin' Jack Flash,3:16:00
1,0,0,1,70,Glee Cast,s,The First Time Ever I Saw Your Face,4:17:00
1,0,0,1,88,Glee Cast,s,Summer Nights,3:36:00
9,0,0,1,87,Mary J. Blige,My Life II�The Journey Continues,Mr. Wrong,4:01:00
11,0,0,1,61,George Strait,Here For A Good Time,Love's Gonna Make It Alright,3:48:00
5,0,0,1,72,Jay-Z,Watch The Throne,No Church In The Wild,4:32:00
19,1,0,1,39,Blake Shelton,Red River Blue (Deluxe Version),Drink On It,3:31:00
11,0,0,1,49,LMFAO,s,Sorry For The Party Rocking,3:23:00
8,0,0,1,80,Diggy,s,Do It Like You,3:53:00
20,7,0,1,35,Miranda Lambert,Four The Record,Over You,4:13:00
20,0,0,1,44,Dierks Bentley,s,Home,4:00:00
35,33,0,1,14,Drake,Take Care (Deluxe Version),The Motto,3:01:00
20,0,0,2,60,Avicii,s,Levels,3:19:00
20,0,0,1,52,Tim McGraw,s,Better Than I Used To Be,3:21:00
6,3,1,1,10,Madonna,MDNA,Give Me All Your Luvin',3:22:00
2,1,0,1,26,Glee Cast,s,Smooth Criminal,3:34:00
1,0,0,1,56,Glee Cast,s,Human Nature,3:24:00
1,0,0,1,64,Glee Cast,s,Black Or White,3:16:00
1,0,0,1,78,Glee Cast,s,Wanna Be Startin' Somethin',3:27:00
1,0,0,1,80,Glee Cast,s,Bad,3:25:00
8,0,0,2,81,Melanie Fiona,s,4 AM,4:51:00
42,33,22,6,1,Fun.,Some Nights,We Are Young,4:09:00
3,3,2,1,3,Whitney Houston,The Bodyguard OST,I Will Always Love You,4:32:00
2,2,0,1,25,Whitney Houston,Whitney,I Wanna Dance With Somebody,4:49:00
2,1,0,1,36,Whitney Houston,Whitney Houston,Greatest Love Of All,4:48:00
2,0,0,1,51,Meek Mill,"MMG Presents: Self Made, Vol. 1",Ima Boss,5:13:00
1,0,0,1,80,Lindsey Pavao,s,Say Aah,2:57:00
1,0,0,1,81,Glee Cast,s,Sexy And I Know It,3:17:00
20,6,0,1,29,Kip Moore,Somethin' 'Bout A Truck,Somethin' 'Bout A Truck,3:36:00
26,23,0,4,12,Calvin Harris,Feel So Close,Feel So Close,3:27:00
22,10,0,4,28,Kirko Bangz,s,Drank In My Cup,3:52:00
1,0,0,1,99,Glee Cast,s,La Isla Bonita,3:14:00
1,0,0,1,100,YG,s,Snitches Ain't�,3:40:00
26,9,0,1,31,Christina Perri,Twilight Saga: Breaking Dawn � Part 1 soundtrack,A Thousand Years,4:45:00
18,0,0,1,42,"Fray, The",s,Heartbeat,3:39:00
22,20,9,1,1,Katy Perry,s,Part Of Me,3:35:00
